DateTime,Entries,UniqueIPs
1580109312,13828,13828
1580110495,13824,13824
1580111707,13826,13826
1580112908,13825,13825
1580114412,13813,13813
1580116209,13816,13816
1580116450,13818,13818
1580118130,13822,13822
1580118969,13848,13848
1580120060,13868,13868
1580121610,13870,13870
1580122827,13877,13877
1580124008,13915,13915
1580125318,13902,13902
1580126444,13910,13910
1580128929,13905,13905
1580130850,13929,13929
1580131689,13946,13946
1580132856,13917,13917
1580134217,13910,13910
1580135287,13948,13948
1580136969,13966,13966
1580138050,13980,13980
1580138891,14006,14006
1580140202,14012,14012
1580141407,14028,14028
1580142610,14051,14051
1580144107,14101,14101
1580146089,14126,14126
1580146936,14092,14092
1580148091,14116,14116
1580149209,14154,14154
1580150408,14135,14135
1580151633,14145,14145
1580152812,14173,14173
1580154309,14142,14142
1580155817,14144,14144
1580158571,14153,14153
1580159708,14153,14153
1580161329,14139,14139
1580162521,14149,14149
1580164088,14179,14179
1580165767,14151,14151
1580166847,14138,14138
1580167687,14155,14155
1580169309,14154,14154
1580170448,14159,14159
1580172138,14152,14152
1580173439,14166,14166
1580175009,14155,14155
1580175728,14174,14174
1580176567,14241,14241
1580177648,14631,14631
1580178487,14652,14652
1580179330,14617,14617
1580181248,14632,14632
1580182087,14654,14654
1580183767,14626,14626
1580184847,14622,14622
1580186109,14616,14616
1580187628,14605,14605
1580189291,14650,14650
1580190971,14633,14633
1580193610,14619,14619
1580195408,14633,14633
1580195648,14639,14639
1580196490,14651,14651
1580198108,14629,14629
1580199211,14612,14612
1580200928,14608,14608
1580202211,14619,14619
1580203482,14643,14643
1580204708,14638,14638
1580205873,14651,14651
1580207683,14669,14669
1580208912,14691,14691
1580210109,14688,14688
1580210887,14706,14706
1580212568,14671,14671
1580212836,14653,14653
1580214010,14665,14665
1580215126,14626,14626
1580216665,14644,14644
1580217249,14660,14660
1580218508,14658,14658
1580219790,14656,14656
1580220848,14645,14645
1580222409,14611,14611
1580224207,14607,14607
1580226129,14593,14593
1580227398,14576,14576
1580229011,14536,14536
1580229729,14534,14534
1580231417,14536,14536
1580232487,14569,14569
1580233894,14558,14558
1580235009,14521,14521
1580236208,14524,14524
1580237767,14539,14539
1580238848,14536,14536
1580239688,14554,14554
1580240529,14537,14537
1580242446,14539,14539
1580243287,14553,14553
1580244640,14482,14482
1580246049,14451,14451
1580247610,14406,14406
1580248567,14426,14426
1580249709,14400,14400
1580250853,14370,14370
1580252167,14371,14371
1580253282,14354,14354
1580254653,14350,14350
1580256439,14351,14351
1580256848,14358,14358
1580258107,14323,14323
1580259307,14332,14332
1580260444,14331,14331
1580261289,14345,14345
1580262967,14321,14321
1580264047,14312,14312
1580265309,14271,14271
1580266508,14282,14282
1580267708,14266,14266
1580268909,14206,14206
1580270107,14248,14248
1580271248,14260,14260
1580272091,14283,14283
1580272928,14233,14233
1580274848,14245,14245
1580276528,14214,14214
1580277369,14228,14228
1580278448,14231,14231
1580279576,14206,14206
1580280706,14213,14213
1580281809,14201,14201
1580282926,14213,14213
1580284040,14157,14157
1580285326,14126,14126
1580286488,14141,14141
1580287332,14099,14099
1580288170,14114,14114
1580289311,14088,14088
1580290497,14060,14060
1580291706,14063,14063
1580292908,14056,14056
1580294529,13999,13999
1580295368,14022,14022
1580296451,14008,14008
1580297287,14027,14027
1580300048,13978,13978
1580301309,13954,13954
1580302463,13968,13968
1580303648,13942,13942
1580304489,13960,13960
1580305773,13911,13911
1580307249,13894,13894
1580308510,13841,13841
1580309710,13862,13862
1580310839,13856,13856
1580312311,13815,13815
1580313367,13857,13857
1580314450,13846,13846
1580315287,13861,13861
1580317818,13790,13790
1580319739,13719,13719
1580321647,13715,13715
1580322908,13697,13697
1580324490,13705,13705
1580325608,13740,13740
1580327107,13726,13726
1580328847,13723,13723
1580330528,13702,13702
1580332448,13730,13730
1580333288,13752,13752
1580334969,13732,13732
1580336047,13734,13734
1580336888,13750,13750
1580338576,13732,13732
1580339708,13719,13719
1580341329,13687,13687
1580343008,13686,13686
1580344177,13677,13677
1580345439,13676,13676
1580346608,13601,13601
1580347810,13105,13105
1580349011,13097,13097
1580350217,13087,13087
1580351408,13048,13048
1580354049,13035,13035
1580356567,13032,13032
1580358488,13023,13023
1580359697,12982,12982
1580361017,12960,12960
1580362930,12900,12900
1580364607,12901,12901
1580365865,12880,12880
1580367287,12896,12896
1580368447,12889,12889
1580369290,12907,12907
1580370506,12857,12857
1580371819,12821,12821
1580373011,12783,12783
1580375647,12757,12757
1580376489,12775,12775
1580377328,12710,12710
1580379247,12708,12708
1580380445,12680,12680
1580381602,12696,12696
1580382908,12694,12694
1580384530,12701,12701
1580386208,12699,12699
1580387400,12665,12665
1580388968,12688,12688
1580390049,12673,12673
1580390887,12694,12694
1580392208,12675,12675
1580393417,12662,12662
1580395331,12611,12611
1580397247,12627,12627
1580398929,12615,12615
1580400026,12607,12607
1580401687,12659,12659
1580402528,12615,12615
1580404198,12635,12635
1580405407,12624,12624
1580407807,12637,12637
1580409728,12637,12637
1580411648,12642,12642
1580412488,12666,12666
1580415016,12667,12667
1580416208,12647,12647
1580417407,12657,12657
1580418608,12657,12657
1580419687,12664,12664
1580422207,12637,12637
1580422447,12644,12644
1580423294,12662,12662
1580424499,12649,12649
1580426049,12647,12647
1580427307,12632,12632
1580428567,12640,12640
1580429648,12628,12628
1580431250,12600,12600
1580432428,12597,12597
1580433607,12632,12632
1580434928,12609,12609
1580436847,12601,12601
1580438408,12559,12559
1580439369,12579,12579
1580440450,12587,12587
1580442130,12505,12505
1580442969,12536,12536
1580444108,12534,12534
1580445307,12521,12521
1580446508,12528,12528
1580447648,12532,12532
1580448488,12546,12546
1580449328,12521,12521
1580450174,12537,12537
1580451250,12521,12521
1580452508,12514,12514
1580454607,12528,12528
1580455809,12519,12519
1580457629,12503,12503
1580458449,12521,12521
1580460009,12507,12507
1580461145,12511,12511
1580462409,12534,12534
1580463728,12510,12510
1580464569,12522,12522
1580465708,12526,12526
1580467327,12497,12497
1580469249,12505,12505
1580470087,12517,12517
1580471430,12495,12495
1580472850,12476,12476
1580474528,12443,12443
1580476208,12450,12450
1580477408,12439,12439
1580478561,12446,12446
1580479674,12437,12437
1580481308,12436,12436
1580482569,12442,12442
1580483713,12425,12425
1580485329,12415,12415
1580486168,12428,12428
1580487308,12416,12416
1580488087,12429,12429
1580489769,12425,12425
1580490848,12447,12447
1580491687,12467,12467
1580492529,12443,12443
1580494207,12454,12454
1580496128,12433,12433
1580496966,12452,12452
1580497226,12426,12426
1580498363,12461,12461
1580499727,12452,12452
1580501649,12478,12478
1580503136,12475,12475
1580505007,12505,12505
1580506210,12494,12494
1580507407,12527,12527
1580508610,12537,12537
1580509790,12522,12522
1580511367,12559,12559
1580512510,12573,12573
1580514909,12539,12539
1580516110,12556,12556
1580517731,12569,12569
1580519035,12583,12583
1580520306,12613,12613
1580521507,12604,12604
1580522637,12630,12630
1580524211,12634,12634
1580524929,12639,12639
1580526608,12640,12640
1580527807,12639,12639
1580529307,12633,12633
1580530508,12646,12646
1580531289,12665,12665
1580532797,12654,12654
1580534048,12650,12650
1580535738,12638,12638
1580536569,12652,12652
1580537647,12646,12646
1580538490,12663,12663
1580539328,12631,12631
1580540526,12636,12636
1580542507,12648,12648
1580543708,12666,12666
1580544909,12665,12665
1580546408,12641,12641
1580547367,12674,12674
1580548446,12669,12669
1580549708,12704,12704
1580550907,12730,12730
1580552047,12732,12732
1580552888,12759,12759
1580553727,12712,12712
1580555417,12704,12704
